Name,Sales,Retail_Price,Averge_Sale_Price,Highest_Price,Lowest_Price,Release_Date
Jordan 3 Retro True Blue 2016 (GS),656,160,116,200,60,2016-11-25
Jordan 1 Retro Bred 2016(GS),614,120,309,430,219,2016-09-03
Jordan Legacy 312 Lakers,578,150,118,300,70,2018-11-01
Jordan 5 Retro Metallic White (2015),559,190,190,300,116,2015-04-04
Jordan 18 Retro Yellow Ochre,524,225,151,395,80,2018-09-15
Jordan 3 Retro Cyber Monday (2016),522,190,139,299,70,2016-10-15
Jordan 5 Retro Fire Red (2013),517,160,220,385,147,2013-01-26
Jordan 3 Retro White Cement (2011),451,150,286,420,165,2011-01-22
Jordan 4 Retro Green Glow,438,160,276,415,190,2013-08-17
Jordan 3 Retro Powder Blue,436,170,186,289,128,2014-01-18
Jordan 5 Retro Satin Bred (GS),404,140,100,165,50,2018-11-03
Jordan 1 Retro High White Snake (W),374,145,148,900,70,2018-07-01
Jordan 1 Retro Black White (2014),350,140,356,751,177,2014-11-08
Jordan 88 Racer White Cement,346,100,79,150,47,2018-09-01
Jordan 1 Mid Multi-Color Swoosh Black,343,110,80,225,42,2018-06-15
Jordan 6 Retro History of Jordan (Spiz'ike),256,170,188,250,106,2014-08-09
Jordan 2 Retro Low Chicago (2016),220,160,92,204,50,2016-05-21
Jordan 11 Retro Low IE Cobalt (2015),171,170,162,250,50,2015-08-01
Jordan 4 Retro Flyknit Volt,143,220,276,450,220,2019-06-14
Jordan Spizike Mint Foam (GS),32,125,47,85,37,2017-01-01
Jordan 1 Cargo White Black,30,130,125,250,85,2002-05-01
Jordan 1 Retro High Barely Volt (W),9,145,180,250,150,2019-06-22
Jordan 12 Retro International Flight,4973,200,195,347,100,2018-09-08
Jordan 1 Retro High Spider-Man Origin Story (PS),1993,70,101,250,70,2018-12-14
Jordan 8 Retro Tinker Air Raid,1899,190,158,250,86,2018-12-22
Jordan 10 Retro Light Smoke Grey,1626,190,176,300,117,2018-07-28
Jordan 15 Retro Doernbecher (2018),1323,190,215,425,120,2018-12-14
Jordan 1 Mid Top 3 (GS),1235,90,103,180,75,2019-01-01
Jordan 11 Retro Gamma Blue,1121,185,364,600,270,2013-12-21
Jordan 10 Retro Russell Westbrook Class of 2006,1039,190,150,239,95,2018-06-30
Jordan 6 Retro Tinker (GS),897,140,129,222,70,2018-10-06
Jordan 5 Retro Grape (2013),876,160,210,300,145,2013-05-04
Jordan 9 Retro OG (2016),834,190,249,400,127,2016-12-03
Jordan 4 Retro 30th Anniversary Laser,831,250,228,360,141,2015-02-13
Jordan 1 Retro High Noise Cancelling Pack Nigel Sylvester,811,110,206,400,100,2018-11-30
Jordan 11 Retro Win Like 96 (GS),762,170,202,320,110,2017-12-09
Jordan 13 Retro Olive,716,190,125,206,80,2018-01-20
Jordan 6 Retro Doernbecher 15th Anniversary,715,190,939,1500,590,2019-02-23
Jordan 12 Retro International Flight (GS),691,140,118,180,70,2018-09-08
Jordan 4 Retro Motorsports 2017 (GS),660,140,140,300,62,2017-03-26
Jordan 12 Retro Dark Grey,580,190,212,299,115,2017-11-18
Jordan 12 Retro Chinese New Year,576,250,270,380,190,2017-01-28
Jordan 12 Retro Vachetta Tan (W),574,190,127,210,61,2018-03-23
Jordan 2 Retro Black History Month (2019),550,190,131,295,64,2019-02-02
Jordan 9 Retro Boot Wheat,540,225,162,325,87,2018-10-17
Jordan 5 Retro Laney (2013),529,170,188,261,110,2013-11-02
Jordan Legacy 312 Desert Camo,523,160,125,250,68,2019-01-01
Jordan 10 Retro Bulls Over Broadway,509,190,174,300,100,2015-02-14
Jordan Apex Utility Flight Utility,501,200,239,412,175,2019-02-14
Jordan 18 Retro Racer Blue,503,225,153,250,70,2018-09-15
Jordan Legacy 312 Toro,486,160,98,200,60,2018-09-29
Jordan 1 Low White Gum Hyper Pink,446,90,100,235,56,2019-04-01
Jordan 1 Retro Metallic Navy (2016),442,160,185,345,55,2016-06-04
Jordan 11 Retro Low Infrared,435,150,257,380,190,2014-06-14
Jordan 1 Retro David Letterman,435,160,119,200,50,2016-04-30
Jordan 12 Retro Flu Game 2016 (GS),430,140,147,220,73,2016-05-28
Jordan 8 Retro Champagne,394,250,253,400,180,2016-06-25
Jordan Legacy 312 Rookie of the Year (GS),380,110,75,103,55,2018-11-01
Jordan 13 Retro Bred 2017 (GS),369,140,114,190,50,2017-08-19
Jordan 4 Retro Military Blue (2012),370,160,240,400,105,2012-06-09
Jordan 1 Retro Mid Black Dark Grey,365,110,119,235,50,2017-12-01
Jordan 1 Retro High Shadow 2018 (TD),365,50,56,100,30,2018-04-13
Jordan 6 Rings Gym Red,323,165,115,220,80,2019-01-07
Jordan 8 Retro Three Peat,319,190,154,230,90,2015-10-24
Jordan 13 Retro Dirty Bred,313,185,186,298,110,2014-12-13
Jordan 6 Retro Pinnacle Metallic Gold,287,250,341,480,235,2016-10-22
Jordan 13 Retro Low Bred,273,160,156,313,91,2015-06-13
Jordan 1 Mid Last Shot,269,110,89,200,52,2018-06-01
Jordan 7 Retro Olympic (2012),255,160,263,380,130,2012-07-21
Jordan 6 Retro History of Jordan (Spiz'ike),256,170,188,250,106,2014-08-09
Jordan 13 Retro Low Chutney,250,175,119,215,70,2017-06-10
Jordan 3 Retro Bordeaux (W),250,180,111,260,50,2018-09-21
Jordan 18 Retro White Sport Royal,222,225,279,449,200,2018-01-22
Jordan 6 Retro Cigar,221,250,258,397,190,2014-06-14
Jordan 1 Retro Barons,215,140,313,600,160,2014-04-05
Jordan 9 Retro Statue,208,190,156,240,70,2015-08-22
Jordan 1 Retro High Flyknit Derek Jeter RE2PECT,207,180,147,295,75,2018-02-23
Jordan Legacy 312 Olympic,211,150,104,200,71,2019-02-01
Jordan 6 Retro White Jade Black (GS),182,140,119,193,56,2017-03-04
Jordan 11 Retro Low IE Referee (2015),169,170,167,270,100,2015-09-26
Jordan Proto Max 720 Black University Red,149,200,175,269,115,2019-04-01
Jordan 1 Mid All Over Logos (GS),139,90,94,151,73,2019-05-01
Jordan 1 Mid Maybe I Destroyed The Game,79,120,107,175,60,2019-03-20
Jordan 1 Retro Mid White Gym Red Black,76,110,120,200,53,2016-05-01
Air Jordan 1 Mid Lakers,52,105,193,325,60,2013-04-01
Jordan 1 Mid Reverse Black Toe (W),24,110,128,250,110,2019-06-01
Jordan Hydro 7 Black White Gym Red,15,50,31,45,25,2018-01-01
Jordan 1 Retro High Court Purple (GS),5637,120,315,450,181,2018-09-22
Jordan 4 Retro Fire Red Singles Day 2018 (W),1354,190,168,289,86,2018-11-11
Jordan 10 Retro Tinker,1287,190,141,285,80,2018-10-20
Jordan 18 Retro Black Sport Royal,1196,225,224,429,126,2018-10-11
Jordan 12 Retro Gym Red,943,190,222,320,162,2016-07-02
Jordan 12 Retro Winter Black (GS),894,140,162,215,75,2018-12-15
Jordan Legacy 312 Command Force Volt,823,160,139,350,41,2018-08-11
Jordan 4 Retro Columbia (2015),807,190,206,295,115,2015-01-10
Jordan 1 Retro UNC,777,160,327,560,181,2015-10-10
Jordan 1 Retro High RE2PECT (Derek Jeter),676,160,219,435,101,2017-11-18
Jordan 11 Retro Low Cool Grey (GS),662,130,158,290,60,2018-04-28
Jordan 1 Retro High Rox Brown (W),642,160,174,300,100,2018-12-12
Jordan 9 Retro City of Flight,623,190,158,299,85,2018-02-03
Jordan 13 Retro Alternate History of Flight,609,190,174,250,65,2017-07-22
Jordan 1 Retro High Flyknit Shadow,545,180,110,205,62,2018-01-13
Jordan 11 Retro Low Georgetown,546,170,231,345,160,2015-04-11
Jordan 7 Retro Pantone,541,190,128,250,70,2017-04-29
Jordan 3 Retro Infrared 23,508,170,218,325,156,2014-03-08
Jordan 12 Retro Desert Sand (GS),487,140,117,300,52,2018-11-17
Jordan 4 Retro Fire Red (2012),475,160,254,525,150,2012-08-04
Jordan 7 Retro Marvin the Martian,473,190,143,229,100,2015-08-15
Jordan 12 Retro Grey University Blue,467,190,201,299,140,2016-06-25
Jordan 4 Retro Royalty (GS),462,140,117,250,60,2017-02-04
Jordan 18 Retro Campfire Orange,471,225,143,245,80,2018-09-15
Jordan 4 Retro Levi's Denim (Tag with Levi's Logo),449,225,613,1470,450,2018-01-17
Jordan 4 Retro Thunder (2012),454,160,289,500,150,2012-12-22
Jordan 8 Retro Black Cement,451,190,170,250,120,2017-09-16
Jordan XXXIII Blackout,462,175,165,300,88,2018-11-29
Jordan 9 Retro Kobe Bryant PE,437,190,180,260,75,2016-11-19
Jordan 18 Retro Toro,433,225,223,350,121,2018-04-07
Jordan 4 Retro Bred 2019 (TD),419,60,67,125,40,2019-05-04
Jordan 1 Retro White Perforated,414,160,108,294,55,2017-02-04
Jordan 8 Retro Bugs Bunny (2013),413,160,195,287,85,2013-04-20
Jordan 13 Retro Chris Paul Away,410,200,168,240,107,2015-11-07
Jordan 5 Retro Poison Green,389,190,183,300,70,2015-06-06
Jordan 3 Retro Fire Red (2013),391,160,193,249,121,2013-08-03
Jordan 11 Retro Low IE Volt,369,170,137,250,60,2018-08-16
Jordan 4 Retro Dunk From Above,372,190,167,234,101,2016-03-19
Jordan 8 Retro Playoffs (2013),358,160,223,320,130,2013-06-29
Jordan 7 Retro French Blue (2015),348,190,168,258,75,2015-01-24
Jordan 5 Retro Low Neymar,316,200,250,425,135,2016-06-03
Jordan 5 Retro Premium Wine,312,400,227,450,120,2017-12-14
Jordan 5 Retro Black Grape (2013),313,160,260,380,170,2013-06-15
Jordan 4 Retro Teal,303,190,164,280,100,2015-03-14
Jordan 12 Retro Wool,301,200,190,279,101,2016-10-01
Jordan 3 Retro Golf White Cement,299,200,408,950,250,2017-02-10
Jordan 7 Retro Raptors (2012),297,160,264,360,147,2012-09-01
Jordan 6 Retro Infrared 23 (Toro),296,170,277,367,171,2014-02-15
Jordan 6 Retro White Laser Fuchsia Green Abyss (GS),296,140,112,185,71,2019-03-02
Jordan 17 Retro Copper (2016),263,250,166,250,105,2016-04-09
Jordan 7 Retro Barcelona Days,262,190,172,249,95,2015-04-25
Jordan 13 Retro He Got Game (2013),248,170,218,445,131,2013-03-16
Jordan 13 Retro Barons Hologram,243,185,215,329,120,2014-10-25
Jordan 10 Retro Cool Grey,231,170,151,220,60,2014-01-25
Jordan 10 Retro Chicago Bulls (2012),231,160,169,280,110,2012-01-21
Jordan 11 Retro Pantone,223,250,412,600,299,2014-12-23
Jordan XXXIII Chinese New Year (2019),217,175,180,381,100,2019-02-05
Jordan 5 Retro Take Flight,216,400,214,330,115,2017-02-11
Jordan 12 Retro Low Wolf Grey,207,170,168,289,103,2017-03-18
Jordan 5 Retro Low Alternate 90,190,175,176,275,100,2016-01-30
Jordan 4 Retro Fire Red Mars Blackmon,180,115,244,355,190,2006-07-22
Jordan 1 Retro Carmine (2014),170,140,249,365,160,2014-05-24
Jordan 1 Retro High Gatorade Blue Lagoon (GS),168,150,87,278,40,2017-12-26
Jordan 1 Retro High Flyknit Black History Month (2018),166,180,126,250,70,2018-02-01
Jordan 1 Retro Chicago 2015 (GS),164,120,558,1000,340,2015-05-30
Jordan 2 Retro Dark Concord,160,150,125,200,55,2014-05-10
Jordan 12 Retro Cherry (2009),144,150,389,600,235,2009-12-19
Jordan 1.5 Retro Bred,144,150,189,319,105,2015-11-21
Jordan 11 Retro Low Barons (GS),128,130,184,275,92,2017-05-27
Jordan 1 Mid University Gold Black,131,110,94,180,66,2019-04-01
Jordan 11 Retro Playoffs (2001),102,125,363,500,225,2001-12-22
Jordan 11 Retro Low Snake Navy 2019 (TD),99,55,61,120,39,2019-04-19
Jordan 1 Retro High Flyknit Shadow (GS),96,140,76,125,52,2018-01-13
Jordan 6 Retro Golden Moments Pack (6/7),91,175,238,355,165,2012-08-18
Jordan 3 Retro White Cement (2003),76,100,270,450,120,2003-04-19
Jordan Countdown Pack 7/16,68,310,366,490,220,2008-06-21
Jordan Proto React Black White,66,150,104,210,65,2019-03-08
Jordan 23 Solefly Florida Marlins,57,275,237,346,141,2016-10-22
Jordan 1 Retro High Double Strap Black Sail,49,140,83,190,53,2018-09-01
Jordan 1 Retro High Double Strap Black Gym Red,44,140,101,200,45,2019-01-07
Jordan 1 Cargo Black White,42,130,161,200,104,2002-05-01
Jordan 8 Retro Chrome 2015 (GS),32,140,144,225,80,2015-12-19
Jordan 10 Retro Steel (GS),27,150,97,165,40,2002-05-01
Jordan 1.5 Retro Sand Dune,22,150,115,225,60,2015-12-12
Jordan 11 OG Playoffs (1995),21,125,421,750,275,1995-01-01
Jordan Jumpman Pro Black Gym Red University Blue,12,140,106,150,56,2019-05-02
Jordan 11 Retro Low IE Space Jam,15,170,217,300,101,2019-07-13
Jordan 1 Retro High Pine Green (GS),2626,120,271,400,200,2018-09-22
Jordan 9 Retro Dream It Do It (GS),1724,140,161,260,70,2019-03-09
Jordan 1 Mid Team Orange Black (GS),1487,100,167,319,101,2018-12-18
Jordan Legacy 312 Ghost Green,1299,160,170,800,40,2018-07-14
Jordan 1 Rebel XX Chicago (W),1272,145,174,345,83,2018-05-19
Jordan 12 Retro Chris Paul Class Of 2003,1254,190,182,310,100,2018-08-11
Jordan 4 Retro Levi's Black (Blank Tag),984,150,284,599,215,2018-06-30
Jordan 3 Retro AWOK Vogue Black (W),999,220,162,316,65,2018-09-07
Jordan 4 Retro Motorsports Alternate,917,190,185,360,100,2017-06-17
Jordan 13 Retro Low Clot Black Red,906,200,321,640,200,2018-12-22
Jordan 9 Retro Boot Black Concord,906,225,174,300,100,2018-10-17
Jordan 1 Retro High OG Sail,856,160,189,338,85,2017-06-20
Jordan 4 Retro Pure Money 2017 (GS),836,140,168,350,90,2017-05-13
Jordan 1 Retro Yin Yang Black,836,160,151,282,66,2016-08-06
Jordan 4 Retro Sand 2017 (GS),832,140,127,245,40,2017-06-10
Jordan 1 Retro Metallic Red (2017),825,160,166,396,76,2017-05-06
Jordan 1 Mid True Berry Rush Pink (GS),804,90,112,180,64,2019-02-01
Jordan 1 Mid Reverse New Love,779,110,124,226,60,2018-06-15
Jordan 9 Retro Pearl Blue (GS),764,140,138,200,80,2019-02-09
Jordan 3 Retro Golf Black Green Glow,697,200,249,525,170,2018-08-10
Jordan 1 Retro High OG Sail (GS),635,120,107,177,40,2017-08-01
Jordan 3 Retro Hall of Fame (GS),628,140,125,200,60,2018-05-12
Jordan 7 Retro Pure Platinum,593,190,135,230,70,2017-06-03
Jordan 1 Retro Mid New Love (2017),568,110,301,589,160,2017-06-01
Jordan 1 Retro High Think 16 (Pass the Torch),544,145,1076,4300,386,2018-04-28
Jordan 1 Retro High Gatorade Rush Violet,539,175,124,425,77,2017-12-26
Jordan 11 Retro Concord 2018 (TD),539,70,78,157,40,2018-12-08
Jordan 2 Retro Melo (2018),532,190,155,300,90,2018-06-09
Jordan Defining Moments Pack Last Shot,525,500,347,497,180,2017-06-14
Jordan 14 Retro Desert Sand,520,190,155,270,90,2018-05-15
Jordan 8 Retro Take Flight,518,190,183,250,123,2017-01-28
Jordan 13 Retro What Is Love Pack,491,150,204,395,136,2016-11-11
Jordan 11 Retro Cool Grey (2010),489,175,398,1000,295,2010-12-23
Jordan 1 Retro Storm Blue,479,160,274,512,143,2016-12-23
Jordan 1 Mid Multi-Color Swoosh (GS),457,90,143,301,86,2018-06-01
Jordan 1 Mid Crimson Pulse (GS),449,90,99,194,55,2018-07-01
Jordan 8 Retro Cool Grey,446,190,166,335,70,2017-08-26
Jordan 1 Retro High OG Quai 54,426,160,200,450,90,2017-07-08
Jordan 1 Retro High Shadow 2018 (PS),398,70,77,155,36,2018-04-14
Jordan 5 Retro Oreo,400,170,237,350,150,2013-11-29
Jordan 11 Retro Cleat Concord,392,125,106,250,50,2018-03-16
Jordan 1 Mid Black White (2018),391,110,107,300,40,2018-04-01
Jordan 4 Retro 11Lab4 Red,373,250,311,796,125,2015-07-11
Jordan 13 Retro Alternate History of Flight (GS),370,140,133,260,75,2017-07-22
Jordan 1 Mid Reverse Bred,362,105,148,230,105,2018-10-01
Jordan 11 Retro Heiress Night Maroon (GS),355,220,286,452,150,2016-12-17
Jordan 7 Retro Low Taxi,355,150,135,229,87,2018-09-27
Jordan 1 Mid Royal Paint Splatter,350,110,115,200,50,2018-03-22
Jordan 12 Retro Chinese New Year 2019 (GS),343,170,186,249,120,2019-02-05
Jordan Spizike Black Varsity Red (2017),359,175,87,175,54,2017-10-04
Jordan 1 Retro High Zip AWOK Vogue University Red (W),339,220,300,596,180,2018-07-21
Jordan 11 Retro Space Jam (2009),333,175,330,460,240,2009-12-23
Jordan 10 Retro New York City (2016),325,190,130,250,81,2016-04-27
Jordan 1 Retro Hare Jordan (2015),323,125,180,300,100,2015-04-04
Jordan XXXIII Visible Utility,309,175,171,300,100,2018-11-16
Jordan XXXII Low Last Shot,304,160,101,228,65,2018-06-09
Jordan 12 Retro Doernbecher (2017),293,190,270,350,200,2017-11-18
Jordan Legacy 312 Black Gold Patent,293,150,98,250,66,2002-05-01
Jordan 8 Retro Alternate,287,190,194,299,106,2017-02-25
Jordan 4 Retro Columbia 2015 (GS),284,140,143,209,85,2015-01-10
Jordan XXXII Russell Westbrook OKC,279,185,101,155,70,2017-11-22
Jordan 6 Retro Black Infrared 2019 (TD),280,60,66,99,40,2019-02-16
Jordan 6 Retro Low Infrared White,277,175,196,380,93,2015-07-04
Jordan 11 Retro Low Golf Safari Bred,277,200,489,1000,355,2019-05-17
Jordan 11 Retro Low University Blue (GS),264,130,170,250,80,2017-04-15
Jordan 12 Retro Gamma Blue,259,170,315,465,140,2013-12-26
Jordan 11 Retro Low Heiress Pure Platinum (GS),258,175,155,250,85,2017-05-20
Jordan 4 Retro Laser Black Gum (GS),250,150,95,175,60,2018-01-12
Jordan 11 Retro Cleat Black,248,125,85,175,50,2018-03-16
Jordan 5 Retro Bel-Air,245,185,397,600,318,2013-10-05
Jordan 6 Retro Slam Dunk,244,250,400,650,270,2014-11-01
Jordan XXXII Black Cement,243,185,139,258,88,2018-01-06
Jordan XXX1 Banned,242,185,152,255,71,2016-09-03
Jordan 7 Retro Doernbecher,224,190,300,550,210,2016-12-17
Jordan 4 Retro Tattoo 2018 (GS),220,160,135,250,70,2018-12-29
Jordan 1 Retro Dave White Wings for the Future,213,175,389,925,200,2012-02-11
Jordan 13 Retro 3M Reflective Silver,210,185,192,280,125,2014-10-04
Jordan 9 Retro Boot NRG Olive,205,225,195,380,85,2017-12-06
Jordan 5 Retro 3Lab5 Infrared,204,225,179,260,111,2013-12-31
Jordan 4 Retro Monsoon Blue (GS),205,150,99,155,70,2019-04-06
Jordan 1.5 Retro Reverse Fragment,203,150,132,250,81,2015-10-17
Jordan 6 Retro Black Infrared 2019 (PS),204,80,83,127,40,2019-02-16
Jordan XX9 Pantone,196,250,113,200,76,2014-12-23
Jordan 4 Retro Ginger Wheat,194,400,320,500,150,2016-10-29
Jordan 1 SB Lance Mountain Black,193,150,359,500,275,2014-06-07
Jordan 13 Retro Black White Gum (GS),190,140,114,225,75,2018-02-24
Jordan 13 Retro Bordeaux (GS),186,140,137,204,53,2017-10-28
Jordan 6 Retro Champagne,180,250,250,338,140,2014-06-14
Jordan 12 Retro Dynamic Pink (GS),185,140,157,274,75,2016-03-05
Jordan 2 Retro Wing It,183,190,135,250,45,2016-03-05
Jordan 1 Mid Black Dark Concord (GS),175,90,81,128,51,2018-12-01
Jordan 1 Retro Black Toe (2016) (GS),175,120,459,720,300,2016-11-05
Jordan 2 Retro Decon Thunder Blue,173,160,60,100,39,2017-07-15
Jordan 8 Retro South Beach (GS),173,140,111,180,70,2018-10-13
Jordan 17 Retro Low SoleFly Alternate Lightning,168,225,325,498,210,2018-02-24
Jordan 11 Retro Low White Red (2012),173,140,237,400,170,2012-05-05
Jordan 1 Retro High Flyknit Clay Green,168,180,129,219,50,2018-05-05
Jordan 7 Retro Bordeaux 2015 (GS),165,140,171,250,98,2015-07-18
Jordan 1 Retro Mid Derek Jeter RE2PECT,163,110,118,384,52,2017-07-26
Jordan 5 Retro Black Metallic (2011),164,150,225,335,130,2011-08-20
Jordan 5 Retro Wolf Grey,161,150,278,399,200,2011-05-14
Jordan 3 Retro Fire Red (2007),159,125,170,250,100,2007-03-24
Jordan 11 Retro Low Bred (GS),157,120,217,320,167,2015-05-22
Jordan 4 Retro Valentine's Day 2019 (GS),155,140,99,160,55,2019-02-09
Jordan 11 Retro Low Georgetown (GS),154,120,166,199,132,2015-04-11
Jordan 12 Retro The Master (GS),149,140,182,275,101,2016-02-27
Jordan Why Not 0.2 BHM (2019),146,125,135,200,81,2019-02-02
Jordan 6 Retro Low Sunblush (GS),146,120,108,209,62,2017-09-30
Jordan Ultimate Gift of Flight (11/29),143,500,417,575,301,2014-12-23
Jordan 1 Retro Black Royal Blue (2013),139,140,309,499,190,2013-02-16
Jordan 4 Retro Military Blue (2006),128,115,216,399,160,2006-09-09
Jordan 1 SB Craig Stecyk Black Silver,128,150,185,269,119,2014-03-15
Jordan 1 Retro Low Pinnacle Metallic Silver,126,160,84,350,40,2016-10-22
Jordan 12 Retro Low Max Orange,126,170,140,226,89,2017-01-14
Jordan 1 Retro Dover Street Market,123,185,204,350,125,2015-04-16
Jordan 1 Retro KO Sail (2016),123,140,107,220,33,2016-03-05
Jordan 12 Retro Chinese New Year (GS),122,160,179,340,50,2017-01-28
Jordan 1 Retro AJKO Royal,120,140,99,199,37,2014-08-23
Jordan 5 Retro Low Dunk From Above,119,175,136,206,87,2016-02-20
Jordan Legacy 312 Black Camo Green,115,150,96,250,69,2019-01-01
Jordan 5 Retro Heiress Camo (GS),114,160,72,123,30,2017-09-16
Jordan 7 Retro Ray Allen Bucks (GS),111,140,106,169,70,2019-06-01
Jordan 15 Retro Obsidian,105,190,143,230,77,2017-03-04
Jordan XXXII Pure Platinum 2,101,185,104,190,66,2018-01-01
Jordan 10 Retro Bobcats,101,170,141,199,85,2014-01-11
Jordan 11 Retro Playoffs 2012 (GS),100,120,351,500,184,2012-12-21
Jordan 13 Retro MCS Cleat Barons,97,100,85,160,50,2018-10-01
Jordan 1 Retro Reverse Shattered Backboard (GS),88,120,485,650,360,2016-10-08
Jordan Defining Moments Pack (6/11),87,296,863,1200,613,2006-01-28
Jordan 3 Retro Golf Brown,86,225,249,420,180,2018-02-16
Jordan 1 Retro Mid New Love 2017 (TD),85,50,61,105,32,2017-05-08
Jordan 6 Retro Oreo,83,150,308,480,195,2010-03-20
Jordan 4 Retro Flight Nostalgia (TD),83,60,49,80,30,2019-03-02
Jordan Legacy 312 Wolf Grey,79,150,91,250,50,2019-01-01
Jordan 11 Retro Low Cleat Cool Grey,76,120,95,149,50,2018-03-16
Jordan 11 Retro Space Jam (2000),76,125,337,648,260,2000-12-13
Jordan 11 Retro Low Midnight Navy (GS),76,120,154,290,80,2016-06-04
Jordan 17 Retro Black Silver CDP (2008),74,155,222,340,120,2008-05-24
Jordan 14 Retro Fuchsia Flash Black Toe (GS),73,140,99,180,50,2018-05-14
Jordan 1 Retro High Taz (GS),73,95,131,227,85,2015-05-06
Jordan XXX White Black,72,200,161,399,86,2016-02-10
Jordan XXX UNC,71,200,124,255,69,2016-03-05
Jordan 11 Retro Low IE Militia Green (2015),70,170,136,325,60,2015-09-19
Jordan 1 Retro Mid Black (2016),67,110,89,180,48,2016-06-01
Jordan 4 Retro Black Cats,60,115,385,560,266,2006-05-20
Jordan 1 Retro High White Still Blue (GS),61,95,104,215,50,2017-03-25
Jordan 15 Retro PSNY Black Suede,62,225,133,225,80,2017-09-10
Jordan 1 Mid Olive Canvas (2018),60,120,104,200,60,2018-11-01
Jordan 3 Retro Cool Grey,60,135,300,475,171,2007-02-24
Jordan 1 Mid Light Bone,68,120,126,200,70,2018-12-01
Jordan 11 Retro Cleat White Royal,53,125,111,200,85,2018-03-16
Jordan Hydro 11 Retro Concord,53,58,52,75,40,2018-01-01
Jordan 11 Retro Columbia (2001),50,125,281,389,175,2001-01-17
Jordan Future Low Wolf Grey Emerald Rise,50,140,63,106,39,2018-04-10
Jordan 1 Retro High Igloo,49,160,2174,4000,1265,2017-12-07
Jordan Spizike Black Varsity Red 2017 (GS),46,125,54,99,25,2017-10-04
Jordan 1 Retro High Dip-Toe Black (W),47,145,66,130,38,2018-02-01
Jordan XXXII Low Chicago Win Like 96,49,160,94,130,60,2017-12-02
Jordan 10 Retro Ice Blue,41,125,220,325,150,2005-06-11
Jordan 88 Racer Black Anthracite,40,100,43,61,28,2018-09-01
Jordan 5 Retro P51 Camo (GS),36,140,91,179,60,2017-09-02
Jordan Apex React Black Atmosphere Grey Infrared 23,35,190,106,220,70,2002-05-01
Jordan 1 Retro High Double Strap White Black Sail,33,140,91,170,58,2019-02-12
Jordan 8 Retro Champagne (GS),32,180,192,300,103,2016-06-25
Jordan 1 Retro Nouveau Navy Snake,32,150,117,220,65,2016-05-01
Jordan 23 White Varsity Red,30,185,186,300,130,2008-05-31
Jordan 8 Retro Tinker Air Raid (PS),28,80,67,100,45,2018-12-22
Jordan 1 Mid Unite Totale (W),29,120,139,222,70,2019-05-16
Jordan 13 Retro Atmosphere Grey (PS),27,80,71,101,50,2019-03-23
Jordan XX9 Playoff Pack Home,28,225,113,200,75,2015-04-15
Jordan Hydro 13 Retro White Metallic Silver,29,58,56,70,45,2017-01-01
Jordan Jumpman Z Bred,28,150,77,135,50,2018-10-06
Jordan Future Black Ice,25,150,117,225,50,2014-08-27
Jordan 1 Retro Nouveau Snakeskin,22,150,113,150,65,2016-03-17
Jordan Proto Max 720 Crimson Tint,20,200,172,225,103,2019-04-01
Jordan 3 Retro True Blue (2001),19,100,229,390,145,2001-11-17
